Entity,Code,Day,Number of parameters,Domain
ERNIE-ViLG,,2021-12-31,10000000000,Multimodal
ESM1-43M,,2020-08-31,42600000,Biology
ESM1-670M (UR100),,2020-08-31,669200000,Biology
ESM1-670M (UR50/D),,2020-08-31,669200000,Biology
ESM1-670M (UR50/S),,2020-08-31,669200000,Biology
ESM1-85M,,2020-08-31,85100000,Biology
ESM1b,,2020-12-15,652400000,Biology
ESM2-150M,,2022-07-21,150000000,Biology
ESM2-15B,,2022-07-21,15000000000,Biology
ESM2-35M,,2022-07-21,35000000,Biology
ESM2-3B,,2022-07-21,3000000000,Biology
ESM2-650M,,2022-07-21,650000000,Biology
ESM2-8M,,2022-07-21,8000000,Biology
ESRGAN,,2018-09-01,,Other
EVA,,2022-11-14,1011000000,Vision
EfficientDet,,2020-07-27,77000000,Vision
EfficientNet-L2,,2019-05-28,480000000,Vision
EfficientNetV2,,2021-06-23,208000000,Vision
EfficientZero,,2021-10-30,,Games
Elastic weight consolidation,,2016-12-02,,Other
Empirical evaluation of deep architectures,,2007-06-01,,Other
EnCodec,,2022-10-24,,Other
Enhanced Neighborhood-Based Filtering,,2007-10-28,,Other
Error Propagation,,1986-01-03,,Other
Eve,,2021-10-27,,Biology
FAIRSEQ Adaptive Inputs,,2019-04-01,247000000,Language
FAST,,2006-05-07,,Other
FLAN 137B,,2021-09-03,137000000000,Language
FTW,,2018-07-03,126001330,Games
Falcon 180B,,2023-09-06,180000000000,Language
Falcon-40B,,2023-03-15,40000000000,Language
Fast R-CNN,,2015-04-30,,Vision
Faster R-CNN,,2015-06-04,,Vision
Feedback Transformer,,2020-02-21,126000000,Language
Feedforward NN,,2010-05-13,7082000,Vision
Ferret (13B),,2023-10-11,13000000000,Multimodal
FinGPT-13B,,2023-10-07,13000000000,Language
Fine-tuned-AWD-LSTM-DOC(fin),,2018-11-12,23000000,Language
Firefly,,2023-03-21,,Image generation
Fisher Kernel GMM,,2017-01-01,,Vision
Fisher-Boost,,2010-09-05,,Vision
FixRes ResNeXt-101 WSL,,2019-06-14,829000000,Vision
Flamingo,,2022-04-29,80000000000,Multimodal
Flan T5-XXL + BLIP-2,,2023-01-30,12100000000,Multimodal
Flan-PaLM 540B,,2022-10-20,540000000000,Language
Flan-T5 11B,,2022-10-20,11000000000,Language
Florence,,2021-11-22,893000000,Vision
Fold2Seq,,2021-06-24,,Biology
Fractional Max-Pooling,,2014-12-18,27000000,Vision
FrameNet role labeling,,2000-09-01,,Language
